The Godfather,1972,175,Francis Ford Coppola,Crime,Drama
The Dark Knight,2008,152,Christopher Nolan,Action,Thriller
The Lord of the Rings: The Return of the King,2003,201,Peter Jackson,Action,Fantasy
Star Wars: Episode V - The Empire Strikes Back,1980,124,Irvin Kershner,Action,SciFi
Inception,2010,148,Christopher Nolan,Action,Adventure
Die Hard,1988,132,John McTiernan,Action,Thriller
Toy Story,1995,81,John Lasseter,Animation,Adventure
Monsters Inc.,2001,92,Pete Docter,Animation,Adventure
The Sixth Sense,1999,107,M. Night Shyamalan,Drama,Mystery
